"entryACCESSION","entrez_symbol","entryTYPE","OMIM","UNIPROT","ROLE","pathway","source","activity","deviation","label"
"kegg_1509","CTSD","gene","116840|610127","P07339|V9HWI3",NA,"Apoptosis|Estrogen signaling pathway","KEGG",1,0,"CTSD"
"kegg_8722","CTSF","gene","603539|615362","Q9UBX1",NA,"Apoptosis","KEGG",1,0,"CTSF"
"kegg_1512","CTSH","gene","116820","P09668",NA,"Apoptosis","KEGG",1,0,"CTSH"
"kegg_1513","CTSK","gene","265800|601105","P43235",NA,"Apoptosis","KEGG",1,0,"CTSK"
"kegg_1514","CTSL","gene","116880","A0A024R276|P07711|Q9HBQ7",NA,"Apoptosis","KEGG",1,0,"CTSL"
"kegg_1519","CTSO","gene","600550","P43234",NA,"Apoptosis","KEGG",1,0,"CTSO"
"kegg_1520","CTSS","gene","116845","P25774",NA,"Apoptosis","KEGG",1,0,"CTSS"
"kegg_1515","CTSV","gene","603308","A0A024R141|B2R717|O60911",NA,"Apoptosis","KEGG",1,0,"CTSV"
"kegg_1521","CTSW","gene","602364","P56202",NA,"Apoptosis","KEGG",1,0,"CTSW"
"kegg_1522","CTSZ","gene","603169","Q9UBR2",NA,"Apoptosis","KEGG",1,0,"CTSZ"
"kegg_8454","CUL1","gene","603134","A0A090N7U0|B3KTW0|Q13616",NA,"Pathways in cancer|Wnt signaling pathway|TGF-beta signaling pathway|Cell cycle|Hedgehog signaling pathway","KEGG",1,0,"CUL1"
"kegg_8453","CUL2","gene","603135","A0A140VKB1|Q13617|A0A0A0MTN0|B7Z1Y1",NA,"Pathways in cancer","KEGG",1,0,"CUL2"
"kegg_8452","CUL3","gene","603136|614496|619239","B7Z600|Q13618|A0A024R475","TUMOUR SUPPRESSOR","Hedgehog signaling pathway","KEGG",1,0,"CUL3"
"kegg_6376","CX3CL1","gene","601880","A0N0N7|P78423",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CX3CL1"
"kegg_1524","CX3CR1","gene","601470|607339|609423|613784","P49238",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CX3CR1"
"kegg_2919","CXCL1","gene","155730","P09341",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL1"
"kegg_3627","CXCL10","gene","147310","A0A024RDA4|P02778",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL10"
"kegg_6373","CXCL11","gene","604852","O14625",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL11"
"kegg_6387","CXCL12","gene","600835|609423","P48061",NA,"Pathways in cancer|Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL12"
"kegg_10563","CXCL13","gene","605149","O43927|Q53X90",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL13"
"kegg_58191","CXCL16","gene","605398","Q9H2A7",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL16"
"kegg_2920","CXCL2","gene","139110","A0A024RDD9|P19875",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL2"
"kegg_2921","CXCL3","gene","139111","P19876",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL3"
"kegg_6374","CXCL5","gene","600324","P42830|Q6I9S7",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL5"
"kegg_6372","CXCL6","gene","138965","P80162",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL6"
"kegg_3576","CXCL8","gene","146930","A0A024RDA5|P10145",NA,"Cytokine-cytokine receptor interaction|Pathways in cancer","KEGG",1,0,"CXCL8"
"kegg_4283","CXCL9","gene","601704","Q07325",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCL9"
"kegg_3577","CXCR1","gene","146929|609423","P25024",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCR1"
"kegg_3579","CXCR2","gene","146928|619407","P25025|Q53PC4",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCR2"
"kegg_2833","CXCR3","gene","300574","P49682",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCR3"
"kegg_7852","CXCR4","gene","162643|193670","P61073|A0A0U3GXA9|A0A0U3FJG0","ONCOGENE","Cytokine-cytokine receptor interaction|Pathways in cancer|Calcium signaling pathway","KEGG",1,0,"CXCR4"
"kegg_643","CXCR5","gene","601613","A0N0R2|A8K647|P32302|Q2YD84",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCR5"
"kegg_10663","CXCR6","gene","605163","A0N0N3|O00574",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"CXCR6"
"kegg_80319","CXXC4","gene","611645","J9JIF5",NA,"Wnt signaling pathway","KEGG",1,0,"CXXC4"
"kegg_1536","CYBB","gene","300481|300645|306400","A0A0S2Z3S6|P04839",NA,"HIF-1 signaling pathway","KEGG",1,0,"CYBB"
"kegg_54205","CYCS","gene","123970|612004","G4XXL9|P99999",NA,"Pathways in cancer|Small cell lung cancer|p53 signaling pathway|Apoptosis","KEGG",1,0,"CYCS"
"kegg_1593","CYP27A1","gene","213700|606530","Q02318",NA,"PPAR signaling pathway","KEGG",1,0,"CYP27A1"
"kegg_1581","CYP7A1","gene","118455","P22680",NA,"PPAR signaling pathway","KEGG",1,0,"CYP7A1"
"kegg_1582","CYP8B1","gene","602172","Q9UNU6",NA,"PPAR signaling pathway","KEGG",1,0,"CYP8B1"
"kegg_10800","CYSLTR1","gene","300201","Q38Q88|Q38Q91|Q9Y271",NA,"Calcium signaling pathway","KEGG",1,0,"CYSLTR1"
"kegg_57105","CYSLTR2","gene","605666","A4ZKH2|Q5KU17|Q9NS75","ONCOGENE","Calcium signaling pathway","KEGG",1,0,"CYSLTR2"
"kegg_C01245","D-myo-Inositol 1,4,5-trisphosphate","compound",NA,NA,NA,"Pathways in cancer|Hepatocellular carcinoma|Glioma|Estrogen signaling pathway|cAMP signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"D-myo-Inositol 1,4,5-trisphosphate"
"kegg_23002","DAAM1","gene","606626","Q9Y4D1",NA,"Wnt signaling pathway","KEGG",1,0,"DAAM1"
"kegg_23500","DAAM2","gene","606627|619263","Q86T65|A0A0J9YYF7",NA,"Wnt signaling pathway","KEGG",1,0,"DAAM2"
"kegg_153090","DAB2IP","gene","609205","Q5VWQ8",NA,"Apoptosis","KEGG",1,0,"DAB2IP"
"kegg_1605","DAG1","gene","128239|613818|616538","A0A024R2W4|Q14118",NA,"ECM-receptor interaction","KEGG",1,0,"DAG1"
"kegg_1612","DAPK1","gene","600831","P53355|Q59H88|B4DHI4",NA,"Pathways in cancer|Bladder cancer","KEGG",1,0,"DAPK1"
"kegg_23604","DAPK2","gene","616567","A0A024R603|Q9UIK4",NA,"Pathways in cancer|Bladder cancer","KEGG",1,0,"DAPK2"
"kegg_1613","DAPK3","gene","603289","B3KNJ3|O43293",NA,"Pathways in cancer|Bladder cancer","KEGG",1,0,"DAPK3"
"kegg_1616","DAXX","gene","603186","A0A024RCS3|Q53F85|Q9UER7|B4E1C1","TUMOUR SUPPRESSOR","Apoptosis|MAPK signaling pathway","KEGG",1,0,"DAXX"
"kegg_1622","DBI","gene","125950","P07108|A0A024RAF2|B8ZWD1|B8ZWD8",NA,"PPAR signaling pathway","KEGG",1,0,"DBI"
"kegg_1630","DCC","gene","114500|120470|133239|157600|617542","P43146|Q49AK4","TUMOUR SUPPRESSOR","Pathways in cancer|Colorectal cancer","KEGG",1,0,"DCC"
"kegg_1634","DCN","gene","125255|610048","P07585|Q6FH10|A0A024RBG6",NA,"TGF-beta signaling pathway","KEGG",1,0,"DCN"
"kegg_1643","DDB2","gene","278740|600811","Q92466","TUMOUR SUPPRESSOR","Basal cell carcinoma|Non-small cell lung cancer|Glioma|Colorectal cancer|Thyroid cancer|Hepatocellular carcinoma|Melanoma|Pathways in cancer|Chronic myeloid leukemia|Breast cancer|p53 signaling pathway|Pancreatic cancer|Gastric cancer|Small cell lung cancer|Endometrial cancer","KEGG",1,0,"DDB2"
"kegg_1649","DDIT3","gene","126337","P35638|Q53YD1",NA,"MAPK signaling pathway|Apoptosis","KEGG",1,0,"DDIT3"
"kegg_54541","DDIT4","gene","607729","A0A024QZQ6|Q9NX09",NA,"mTOR signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"DDIT4"
"kegg_9681","DEPDC5","gene","604364|614191","O75140",NA,"mTOR signaling pathway","KEGG",1,0,"DEPDC5"
"kegg_64798","DEPTOR","gene","612974","Q8TB45",NA,"mTOR signaling pathway","KEGG",1,0,"DEPTOR"
"kegg_1676","DFFA","gene","601882","O00273|A0A024R4H5",NA,"Apoptosis","KEGG",1,0,"DFFA"
"kegg_50846","DHH","gene","233420|605423|607080","O43323",NA,"Hedgehog signaling pathway","KEGG",1,0,"DHH"
"kegg_56616","DIABLO","gene","605219|614152","K7X1S0|Q502X2|Q9NR28|A0A024RBT2|A0A0S2Z5P6|A0A0S2Z5U7",NA,"Apoptosis","KEGG",1,0,"DIABLO"
"kegg_C00165","Diacylglycerol","compound",NA,NA,NA,"Pathways in cancer|Hepatocellular carcinoma|Glioma|Non-small cell lung cancer|MAPK signaling pathway|HIF-1 signaling pathway|Estrogen signaling pathway|cAMP signaling pathway","KEGG",1,0,"Diacylglycerol"
"kegg_1729","DIAPH1","gene","124900|602121|616632","O60610|Q6URC4",NA,"Focal adhesion","KEGG",1,0,"DIAPH1"
"kegg_C03917","Dihydrotestosterone","compound",NA,NA,NA,"Pathways in cancer|Prostate cancer","KEGG",1,0,"Dihydrotestosterone"
"kegg_84976","DISP1","gene","607502","Q96F81",NA,"Hedgehog signaling pathway","KEGG",1,0,"DISP1"
"kegg_22943","DKK1","gene","605189","I1W660|O94907",NA,"Wnt signaling pathway","KEGG",1,0,"DKK1"
"kegg_27123","DKK2","gene","605415","Q9UBU2",NA,"Wnt signaling pathway","KEGG",1,0,"DKK2"
"kegg_27121","DKK4","gene","605417","Q9UBT3",NA,"Wnt signaling pathway","KEGG",1,0,"DKK4"
"kegg_28514","DLL1","gene","606582|618709","O00548",NA,"Pathways in cancer|Breast cancer|Notch signaling pathway","KEGG",1,0,"DLL1"
"kegg_10683","DLL3","gene","277300|602768","Q9NYJ7",NA,"Pathways in cancer|Breast cancer|Notch signaling pathway","KEGG",1,0,"DLL3"
"kegg_54567","DLL4","gene","605185|616589","Q9NR61",NA,"Pathways in cancer|Breast cancer|Notch signaling pathway","KEGG",1,0,"DLL4"
"kegg_1758","DMP1","gene","241520|600980","Q13316",NA,"ECM-receptor interaction","KEGG",1,0,"DMP1"
"kegg_C00039","DNA","compound",NA,NA,NA,"Pathways in cancer|Hepatocellular carcinoma|Gastric cancer","KEGG",1,0,"DNA"
"kegg_1793","DOCK1","gene","601403","B2RUU3|Q14185",NA,"Focal adhesion","KEGG",1,0,"DOCK1"
"kegg_C03758","Dopamine","compound",NA,NA,NA,"cAMP signaling pathway","KEGG",1,0,"Dopamine"
"kegg_8193","DPF1","gene","601670","Q92782|Q6PJ73|C8C3P2|E9PDV3",NA,"Hepatocellular carcinoma","KEGG",1,0,"DPF1"
"kegg_8110","DPF3","gene","601672","Q92784|F8W7T1",NA,"Hepatocellular carcinoma","KEGG",1,0,"DPF3"
"kegg_1812","DRD1","gene","126449","P21728",NA,"Calcium signaling pathway|cAMP signaling pathway","KEGG",1,0,"DRD1"
"kegg_1813","DRD2","gene","126450","A0A024R3C5|P14416|A0A024R3I6",NA,"cAMP signaling pathway","KEGG",1,0,"DRD2"
"kegg_1816","DRD5","gene","126453|143465|606798","P21918",NA,"Calcium signaling pathway|cAMP signaling pathway","KEGG",1,0,"DRD5"
"kegg_1834","DSPP","gene","125420|125485|125490|125500|605594","Q9NZW4",NA,"ECM-receptor interaction","KEGG",1,0,"DSPP"
"kegg_1840","DTX1","gene","602582","Q86Y01",NA,"Notch signaling pathway","KEGG",1,0,"DTX1"
"kegg_113878","DTX2","gene","613141","Q86UW9",NA,"Notch signaling pathway","KEGG",1,0,"DTX2"
"kegg_196403","DTX3","gene","613142","Q8N9I9|A0A024RB96",NA,"Notch signaling pathway","KEGG",1,0,"DTX3"
"kegg_151636","DTX3L","gene","613143","Q8TDB6",NA,"Notch signaling pathway","KEGG",1,0,"DTX3L"
"kegg_23220","DTX4","gene","616110","Q9Y2E6",NA,"Notch signaling pathway","KEGG",1,0,"DTX4"
"kegg_1843","DUSP1","gene","600714","B4DU40|P28562",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP1"
"kegg_11221","DUSP10","gene","608867","Q9Y6W6",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP10"
"kegg_80824","DUSP16","gene","607175","A0A024RAR2|Q9BY84","TUMOUR SUPPRESSOR","MAPK signaling pathway","KEGG",1,0,"DUSP16"
"kegg_1844","DUSP2","gene","603068","Q05923",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP2"
"kegg_1845","DUSP3","gene","600183","P51452",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP3"
"kegg_1846","DUSP4","gene","602747","Q13115",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP4"
"kegg_1847","DUSP5","gene","603069","Q16690",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP5"
"kegg_1848","DUSP6","gene","146110|602748|615269","A0A024RBC1|Q16828|Q53GP9",NA,"Acute myeloid leukemia|MAPK signaling pathway","KEGG",1,0,"DUSP6"
"kegg_1849","DUSP7","gene","602749","Q16829",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP7"
"kegg_1850","DUSP8","gene","602038","Q13202",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP8"
"kegg_1852","DUSP9","gene","300134","Q6P9C2|Q99956|B2RAL9",NA,"MAPK signaling pathway","KEGG",1,0,"DUSP9"
"kegg_1855","DVL1","gene","180700|601365|616331","O14640",NA,"Pathways in cancer|Hepatocellular carcinoma|Gastric cancer|Basal cell carcinoma|Breast cancer|Wnt signaling pathway|mTOR signaling pathway|Notch signaling pathway","KEGG",1,0,"DVL1"
"kegg_1856","DVL2","gene","602151","O14641",NA,"Pathways in cancer|Hepatocellular carcinoma|Gastric cancer|Basal cell carcinoma|Breast cancer|mTOR signaling pathway|Wnt signaling pathway|Notch signaling pathway","KEGG",1,0,"DVL2"
"kegg_1857","DVL3","gene","601368|616894","Q92997",NA,"Pathways in cancer|Hepatocellular carcinoma|Gastric cancer|Basal cell carcinoma|Breast cancer|Wnt signaling pathway|mTOR signaling pathway|Notch signaling pathway","KEGG",1,0,"DVL3"
"kegg_1869","E2F1","gene","189971","Q01094|Q9BSD8",NA,"Pathways in cancer|Pancreatic cancer|Small cell lung cancer|Hepatocellular carcinoma|Gastric cancer|Glioma|Chronic myeloid leukemia|Melanoma|Bladder cancer|Prostate cancer|Breast cancer|Non-small cell lung cancer|Cell cycle","KEGG",1,0,"E2F1"
"kegg_1870","E2F2","gene","600426","Q14209",NA,"Melanoma|Pathways in cancer|Pancreatic cancer|Hepatocellular carcinoma|Gastric cancer|Glioma|Chronic myeloid leukemia|Bladder cancer|Prostate cancer|Breast cancer|Small cell lung cancer|Non-small cell lung cancer|Cell cycle","KEGG",1,0,"E2F2"
"kegg_1871","E2F3","gene","600427","O00716",NA,"Chronic myeloid leukemia|Melanoma|Bladder cancer|Pathways in cancer|Pancreatic cancer|Non-small cell lung cancer|Hepatocellular carcinoma|Gastric cancer|Glioma|Prostate cancer|Breast cancer|Small cell lung cancer|Cell cycle","KEGG",1,0,"E2F3"
"kegg_1874","E2F4","gene","600659","Q16254",NA,"TGF-beta signaling pathway|Cell cycle","KEGG",1,0,"E2F4"
"kegg_1875","E2F5","gene","600967","Q15329",NA,"TGF-beta signaling pathway|Cell cycle","KEGG",1,0,"E2F5"
"kegg_9166","EBAG9","gene","605772","A0A024R9E0|O00559",NA,"Estrogen signaling pathway","KEGG",1,0,"EBAG9"
"kegg_10148","EBI3","gene","605816","Q14213",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"EBI3"
"kegg_51295","ECSIT","gene","608388","Q9BQ95",NA,"MAPK signaling pathway","KEGG",1,0,"ECSIT"
"kegg_1896","EDA","gene","300451|305100|313500","A0A0U5J797|Q92838",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"EDA"
"kegg_60401","EDA2R","gene","300276","B2RBZ9|Q9HAV5|B4DQY6",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"EDA2R"
"kegg_10913","EDAR","gene","129490|224900|604095|612630","Q9UNE0",NA,"Cytokine-cytokine receptor interaction","KEGG",1,0,"EDAR"
"kegg_1906","EDN1","gene","131240|612798|615706","P05305|Q6FH53",NA,"Pathways in cancer|cAMP signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"EDN1"
"kegg_1907","EDN2","gene","131241","P20800",NA,"cAMP signaling pathway","KEGG",1,0,"EDN2"
"kegg_1908","EDN3","gene","131242|613265|613712","P14138|Q4FAT2",NA,"cAMP signaling pathway","KEGG",1,0,"EDN3"
"kegg_1909","EDNRA","gene","131243|157300|616367","P25101",NA,"Pathways in cancer|Calcium signaling pathway|cAMP signaling pathway","KEGG",1,0,"EDNRA"
"kegg_1910","EDNRB","gene","131244|277580|600155|600501","P24530|A0A024R638|A0A024R645",NA,"Pathways in cancer|Calcium signaling pathway","KEGG",1,0,"EDNRB"
"kegg_84455","EFCAB7","gene","617632","A8K855",NA,"Hedgehog signaling pathway","KEGG",1,0,"EFCAB7"
"kegg_1942","EFNA1","gene","191164","P20827",NA,"MAPK signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EFNA1"
"kegg_1943","EFNA2","gene","602756","O43921",NA,"MAPK signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EFNA2"
"kegg_1944","EFNA3","gene","601381","P52797",NA,"MAPK signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EFNA3"
"kegg_1945","EFNA4","gene","601380","P52798",NA,"MAPK signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EFNA4"
"kegg_1946","EFNA5","gene","601535","P52803|D6RDV5",NA,"PI3K-Akt signaling pathway|MAPK signaling pathway","KEGG",1,0,"EFNA5"
"kegg_1950","EGF","gene","131530|611718","P01133",NA,"Pathways in cancer|Bladder cancer|Colorectal cancer|Pancreatic cancer|Gastric cancer|Glioma|Melanoma|Prostate cancer|Endometrial cancer|JAK-STAT signaling pathway|Breast cancer|MAPK signaling pathway|Non-small cell lung cancer|Focal adhesion|PI3K-Akt signaling pathway|Calcium signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"EGF"
"kegg_1956","EGFR","gene","131550|211980|616069","Q504U8|E7BSV0|F2YGG7|E9PFD7|B7Z2I3|P00533","ONCOGENE","Pancreatic cancer|Gastric cancer|Pathways in cancer|Melanoma|JAK-STAT signaling pathway|Hepatocellular carcinoma|MAPK signaling pathway|Adherens junction|Estrogen signaling pathway|Calcium signaling pathway|Glioma|Bladder cancer|Endometrial cancer|HIF-1 signaling pathway|Non-small cell lung cancer|Focal adhesion|Breast cancer|Colorectal cancer|Prostate cancer|PI3K-Akt signaling pathway","KEGG",1,0,"EGFR"
"kegg_54583","EGLN1","gene","606425|609070|609820","Q9GZT9|R4SCQ0",NA,"Pathways in cancer|Renal cell carcinoma|HIF-1 signaling pathway","KEGG",1,0,"EGLN1"
"kegg_112398","EGLN2","gene","606424","A0A024R0R2|Q96KS0",NA,"Pathways in cancer|Renal cell carcinoma|HIF-1 signaling pathway","KEGG",1,0,"EGLN2"
"kegg_112399","EGLN3","gene","606426","B3KVT0|F8W1G2|Q3T1B0|Q9H6Z9",NA,"Pathways in cancer|Renal cell carcinoma|HIF-1 signaling pathway","KEGG",1,0,"EGLN3"
"kegg_1962","EHHADH","gene","607037|615605","Q08426",NA,"PPAR signaling pathway","KEGG",1,0,"EHHADH"
"kegg_9538","EI24","gene","605170","O14681|E9PK61|A0A024R3I8",NA,"p53 signaling pathway","KEGG",1,0,"EI24"
"kegg_9451","EIF2AK3","gene","226980|604032","E7ER02|Q68DI6|B3KY45|Q9NZJ5",NA,"Apoptosis","KEGG",1,0,"EIF2AK3"
"kegg_1965","EIF2S1","gene","603907","P05198|Q53XC0",NA,"Apoptosis","KEGG",1,0,"EIF2S1"
"kegg_1975","EIF4B","gene","603928","B4DRM3|E7EX17|Q7Z5Y0|P23588",NA,"mTOR signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EIF4B"
"kegg_1977","EIF4E","gene","133440|615091","P06730|Q32Q75|X5D7E3|D6RBW1",NA,"mTOR signaling pathway|HIF-1 signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EIF4E"
"kegg_253314","EIF4E1B","gene",NA,"A6NMX2",NA,"mTOR signaling pathway|HIF-1 signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EIF4E1B"
"kegg_9470","EIF4E2","gene","605895","O60573|Q59FE1|B9A023|B8ZZ50|B8ZZL3|Q53RG0",NA,"PI3K-Akt signaling pathway|mTOR signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"EIF4E2"
"kegg_1978","EIF4EBP1","gene","602223","Q13541",NA,"Acute myeloid leukemia|mTOR signaling pathway|PI3K-Akt signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"EIF4EBP1"
"kegg_2002","ELK1","gene","311040","A0A024R1A7|P19419|Q86SR6",NA,"Pathways in cancer|Endometrial cancer|Hepatocellular carcinoma|MAPK signaling pathway|Focal adhesion","KEGG",1,0,"ELK1"
"kegg_2005","ELK4","gene","600246","A0A024R9C2|P28324|Q8IXL1|A0A024R997",NA,"MAPK signaling pathway","KEGG",1,0,"ELK4"
"kegg_6923","ELOB","gene","600787","Q15370",NA,"Pathways in cancer|HIF-1 signaling pathway","KEGG",1,0,"ELOB"
"kegg_6921","ELOC","gene","600788","A0A024R7Y5|Q15369",NA,"Pathways in cancer|HIF-1 signaling pathway","KEGG",1,0,"ELOC"
"kegg_27436","EML4","gene","607442","Q9HC35|B5MBZ0",NA,"Pathways in cancer|Non-small cell lung cancer","KEGG",1,0,"EML4"
"kegg_2012","EMP1","gene","602333","A0A024RAT0|P54849",NA,"Focal adhesion","KEGG",1,0,"EMP1"
"kegg_2013","EMP2","gene","602334|615861","P54851|Q7Z4B3",NA,"Focal adhesion","KEGG",1,0,"EMP2"
"kegg_2014","EMP3","gene","602335","A0A024QZF8|P54852",NA,"TGF-beta signaling pathway","KEGG",1,0,"EMP3"
"kegg_2023","ENO1","gene","172430","P06733|A0A024R4F1",NA,"HIF-1 signaling pathway","KEGG",1,0,"ENO1"
"kegg_2026","ENO2","gene","131360","P09104|Q6FHV6",NA,"HIF-1 signaling pathway","KEGG",1,0,"ENO2"
"kegg_2027","ENO3","gene","131370|612932","P13929",NA,"HIF-1 signaling pathway","KEGG",1,0,"ENO3"
"kegg_387712","ENO4","gene","131375","J3KNX1",NA,"HIF-1 signaling pathway","KEGG",1,0,"ENO4"
"kegg_2033","EP300","gene","114500|180849|602700|613684|618333","Q09472|Q7Z6C1","TUMOUR SUPPRESSOR","JAK-STAT signaling pathway|Notch signaling pathway|cAMP signaling pathway|Prostate cancer|TGF-beta signaling pathway|Wnt signaling pathway|HIF-1 signaling pathway|Renal cell carcinoma|Cell cycle|Pathways in cancer","KEGG",1,0,"EP300"
"kegg_2034","EPAS1","gene","603349|611783","B3KW07|Q99814","ONCOGENE","Pathways in cancer|Renal cell carcinoma","KEGG",1,0,"EPAS1"
"kegg_1969","EPHA2","gene","116600|176946","A0A024QZA8|P29317","TUMOUR SUPPRESSOR","PI3K-Akt signaling pathway|MAPK signaling pathway","KEGG",1,0,"EPHA2"
"kegg_2056","EPO","gene","133170|612623|617907|617911","G9JKG7|P01588",NA,"Pathways in cancer|Cytokine-cytokine receptor interaction|JAK-STAT signaling pathway|PI3K-Akt signaling pathway|HIF-1 signaling pathway","KEGG",1,0,"EPO"
"kegg_2057","EPOR","gene","133100|133171","P19235",NA,"Pathways in cancer|PI3K-Akt signaling pathway|Cytokine-cytokine receptor interaction|JAK-STAT signaling pathway","KEGG",1,0,"EPOR"
"kegg_2064","ERBB2","gene","137800|164870|167000|211980|613659|619465","P04626|J3QLU9|F5H1T4|X5DNK3","ONCOGENE","Breast cancer|Calcium signaling pathway|Adherens junction|Pathways in cancer|Non-small cell lung cancer|MAPK signaling pathway|Prostate cancer|Pancreatic cancer|Gastric cancer|Focal adhesion|PI3K-Akt signaling pathway|Bladder cancer|HIF-1 signaling pathway","KEGG",1,0,"ERBB2"
"kegg_2065","ERBB3","gene","133180|190151|243180|607598","P21860","ONCOGENE","Calcium signaling pathway|PI3K-Akt signaling pathway|MAPK signaling pathway","KEGG",1,0,"ERBB3"
"kegg_2066","ERBB4","gene","600543|615515","Q15303","TUMOUR SUPPRESSOR","Calcium signaling pathway|PI3K-Akt signaling pathway|MAPK signaling pathway","KEGG",1,0,"ERBB4"
"kegg_2069","EREG","gene","602061","O14944",NA,"Colorectal cancer|MAPK signaling pathway|PI3K-Akt signaling pathway","KEGG",1,0,"EREG"
"kegg_2081","ERN1","gene","604033","O75460",NA,"Apoptosis","KEGG",1,0,"ERN1"
"kegg_9700","ESPL1","gene","604143","Q14674",NA,"Cell cycle","KEGG",1,0,"ESPL1"
"kegg_2099","ESR1","gene","114480|133430|157300|608446|615363","G4XH65|P03372|Q9UBT1|A8KAF4|H0Y4W6|A0A125SXW3","ONCOGENE","Estrogen signaling pathway|Pathways in cancer|Breast cancer","KEGG",1,0,"ESR1"
"kegg_2100","ESR2","gene","601663|618187","F1D8N3|Q92731|Q0PTK2|Q7LCB3",NA,"Pathways in cancer|Breast cancer|Estrogen signaling pathway","KEGG",1,0,"ESR2"
"kegg_C00951","Estradiol-17beta","compound",NA,NA,NA,"Pathways in cancer|Prostate cancer|Breast cancer|Estrogen signaling pathway","KEGG",1,0,"Estradiol-17beta"
"kegg_2113","ETS1","gene","164720","P14921|A8K725|B4DW78",NA,"Pathways in cancer|Renal cell carcinoma","KEGG",1,0,"ETS1"
"kegg_2121","EVC","gene","193530|225500|604831","P57679|E9PCN4|Q5U3C2",NA,"Hedgehog signaling pathway","KEGG",1,0,"EVC"
"kegg_132884","EVC2","gene","193530|225500|607261","Q86UK5",NA,"Hedgehog signaling pathway","KEGG",1,0,"EVC2"
"kegg_2147","F2","gene","176930|188050|601367|613679|614390","P00734",NA,"Pathways in cancer","KEGG",1,0,"F2"
"kegg_2149","F2R","gene","187930","P25116|A0A024RAP7",NA,"Pathways in cancer|cAMP signaling pathway|PI3K-Akt signaling pathway|Calcium signaling pathway","KEGG",1,0,"F2R"
"kegg_9002","F2RL3","gene","602779","Q96RI0",NA,"Pathways in cancer","KEGG",1,0,"F2RL3"
"kegg_2168","FABP1","gene","134650","P07148|Q05CP7|Q6FGL7",NA,"PPAR signaling pathway","KEGG",1,0,"FABP1"
"kegg_2170","FABP3","gene","134651","P05413",NA,"PPAR signaling pathway","KEGG",1,0,"FABP3"
"kegg_2167","FABP4","gene","600434","E7DVW4|P15090",NA,"PPAR signaling pathway","KEGG",1,0,"FABP4"
"kegg_8772","FADD","gene","602457|613759","Q13158",NA,"Pathways in cancer|Apoptosis","KEGG",1,0,"FADD"
"kegg_9415","FADS2","gene","606149","O95864",NA,"PPAR signaling pathway","KEGG",1,0,"FADS2"
"kegg_9855","FARP2","gene","617586","O94887",NA,"Adherens junction","KEGG",1,0,"FARP2"
"kegg_355","FAS","gene","134637|601859","P25445|K9J972|Q59FU8","TUMOUR SUPPRESSOR","Apoptosis|Cytokine-cytokine receptor interaction|p53 signaling pathway|Pathways in cancer|MAPK signaling pathway","KEGG",1,0,"FAS"
